Datos desde el 01/02/2017 hasta el 28/02/2017

Numero,Estacion,ID Localidad,Fecha,Temperatura [ºC],Humedad [%HR],Punto de Rocío [ºC],Precipitación [mm],Velocidad Viento [Km/h],Dirección Viento,Rafaga Maxima [Km/h],Presión [hPa],Radiación Solar [W/m2],Temperatura Suelo 1 [ºC],Temperatura Suelo 2 [ºC],Temperatura Suelo 3 [ºC],Humedad Suelo 1 [%grav],Humedad Suelo 2 [%grav],Humedad Suelo 3 [%grav],Humedad de Hoja [%],
30135,Yacanto Norte - E01,0,01/02/2017 00:00,19.9,64.8,13.1,0.0,3.9,OESTE NOROESTE,8.1,882.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 00:10,19.4,67.2,13.2,0.2,17.5,NORTE,31.8,883.8,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 00:20,20.0,66.0,13.5,0.0,12.6,NOR NOROESTE,31.2,885.0,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 00:30,20.5,62.1,13,0.0,11.3,NOROESTE,24.0,883.8,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 00:40,20.4,66.8,14,0.2,7.2,SUDESTE SUR,22.2,883.8,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 00:50,19.5,67.6,13.3,0.2,12.2,SUR,26.1,884.4,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,01/02/2017 01:00,19.0,68.4,13.1,0.2,9.8,OESTE SUDOESTE,13.6,882.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 13:10,21.4,39.2,7,0.0,17.2,SUR,31.6,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 13:20,21.8,41.8,8.3,0.0,14.8,SUR,30.7,887.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 13:30,21.5,41.6,7.9,0.0,20.0,SUR,37.0,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 13:40,21.5,38.5,6.8,0.0,18.4,SUR,40.6,887.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 13:50,21.4,36.3,5.8,0.0,18.8,SUR,41.3,887.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 14:00,21.6,37.0,6.3,0.0,20.5,SUR,37.7,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 14:10,21.6,37.2,6.4,0.0,19.2,SUR,38.2,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,05/02/2017 14:20,21.8,38.1,6.9,0.0,18.2,SUR,35.1,886.2,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 08:40,11.5,87.5,9.5,0.0,2.0,OESTE NOROESTE,3.0,886.9,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 08:50,11.7,85.0,9.3,0.0,4.0,NORTE,10.4,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:00,12.0,84.7,9.5,0.0,2.6,SUR,2.6,886.9,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:10,12.2,83.5,9.5,0.0,4.6,NOR NOROESTE,11.6,887.5,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:20,13.0,81.4,9.9,0.0,4.6,NOR NORESTE,8.9,888.8,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:30,14.3,78.3,10.6,0.0,5.0,ESTE NORESTE,9.2,886.9,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:40,14.8,74.2,10.3,0.0,7.1,ESTE NORESTE,12.9,886.9,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 09:50,15.5,70.4,10.1,0.0,5.3,NOR NORESTE,11.6,888.8,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 10:00,16.1,67.6,10.1,0.0,4.5,NOR NORESTE,9.4,886.2,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 10:10,16.8,65.7,10.3,0.0,4.3,ESTE NORESTE,10.9,889.4,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 10:20,17.1,64.8,10.4,0.0,6.3,NORESTE,14.7,888.1,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 10:30,17.2,65.5,10.7,0.0,9.0,NOR NORESTE,18.1,886.9,--,--,--,--,--,--,--,--,
30135,Yacanto Norte - E01,0,06/02/2017 10:40,17.2,65.8,10.8,0.0,7.5,NOR NORESTE,18.3,889.4,--,--,--,--,--,--,--,--,
