Datos desde el 01/02/2017 hasta el 28/02/2017
Numero,Estacion,ID Localidad,Fecha,Temperatura [ºC],Humedad [%HR],Punto de Rocío [ºC],Precipitación [mm],Velocidad Viento [Km/h],Dirección Viento,Rafaga Maxima [Km/h],Presión [hPa],Radiación Solar [W/m2],Temperatura Suelo 1 [ºC],Temperatura Suelo 2 [ºC],Temperatura Suelo 3 [ºC],Humedad Suelo 1 [%grav],Humedad Suelo 2 [%grav],Humedad Suelo 3 [%grav],Humedad de Hoja [%],
30069,Magyacba Oliva,0,01/02/2017 00:00,23.3,68.3,17.1,0.0,0.0,ESTE,0.0,974.4,0.0,31.2,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 00:10,23.0,71.2,17.5,0.0,0.0,ESTE NORESTE,0.0,975.6,0.0,31.1,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 00:20,22.7,73.8,17.8,0.0,0.0,ESTE NORESTE,0.0,973.8,0.0,31.0,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 00:30,22.4,75.9,17.9,0.0,0.0,ESTE NORESTE,0.0,974.4,0.0,30.9,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 00:40,22.0,78.5,18.1,0.0,0.0,ESTE NORESTE,0.0,975.6,0.0,30.9,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 00:50,21.8,79.9,18.2,0.0,0.0,ESTE NORESTE,0.0,973.8,0.0,30.8,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 01:00,21.7,78.9,17.9,0.0,0.0,ESTE NORESTE,0.0,974.4,0.0,30.7,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 01:10,21.6,78.4,17.7,0.0,0.0,ESTE NORESTE,0.0,975.0,0.0,30.6,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 01:30,21.4,77.7,17.3,0.0,0.0,OESTE NOROESTE,0.0,975.6,0.0,30.4,--,--,--,--,--,--,
30069,Magyacba Oliva,0,01/02/2017 01:40,21.1,79.7,17.5,0.0,0.0,OESTE NOROESTE,0.0,975.0,0.0,30.3,--,--,--,--,--,--,
